"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652358","1.1.2.1.4","55.7","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652358","1.1.2.1.4","53.9","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652366","1.1.2.2.4","11.7","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652366","1.1.2.2.4","13.7","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652366","1.1.2.2.4","13.7","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652374","1.1.2.3.4","62.3","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652374","1.1.2.3.4","58.8","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652374","1.1.2.3.4","57.7","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652382","1.1.2.4.4","10.5","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652382","1.1.2.4.4","12.6","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652382","1.1.2.4.4","13.2","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652390","1.1.2.5.4","19.0","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652390","1.1.2.5.4","20.3","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652390","1.1.2.5.4","19.6","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Mood disorder","Percent","Percent","239","units","0","v1600652438","1.1.2.11.4","7.6","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Mood disorder","Percent","Percent","239","units","0","v1600652438","1.1.2.11.4","8.9","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Mood disorder","Percent","Percent","239","units","0","v1600652438","1.1.2.11.4","9.8","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Anxiety disorder","Percent","Percent","239","units","0","v1600652446","1.1.2.12.4","7.2","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Anxiety disorder","Percent","Percent","239","units","0","v1600652446","1.1.2.12.4","10.3","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Anxiety disorder","Percent","Percent","239","units","0","v1600652446","1.1.2.12.4","10.5","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652454","1.1.2.13.4","14.3","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652454","1.1.2.13.4","14.4","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652454","1.1.2.13.4","13.4","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652478","1.1.2.16.4","7.3","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652478","1.1.2.16.4","8.3","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652478","1.1.2.16.4","7.2","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Males","Heavy drinking","Percent","Percent","239","units","0","v1600652502","1.1.2.19.4","20.0","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Males","Heavy drinking","Percent","Percent","239","units","0","v1600652502","1.1.2.19.4","24.5","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Males","Heavy drinking","Percent","Percent","239","units","0","v1600652502","1.1.2.19.4","22.2","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652566","1.1.3.1.4","58.6","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652566","1.1.3.1.4","51.9","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived health, very good or excellent","Percent","Percent","239","units","0","v1600652566","1.1.3.1.4","50.5","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652574","1.1.3.2.4","12.1","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652574","1.1.3.2.4","15.4","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived health, fair or poor","Percent","Percent","239","units","0","v1600652574","1.1.3.2.4","15.1","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652582","1.1.3.3.4","55.4","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652582","1.1.3.3.4","50.9","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived mental health, very good or excellent","Percent","Percent","239","units","0","v1600652582","1.1.3.3.4","49.9","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652590","1.1.3.4.4","12.9","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652590","1.1.3.4.4","16.2","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1600652590","1.1.3.4.4","16.9","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652598","1.1.3.5.4","22.6","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652598","1.1.3.5.4","24.2","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent","239","units","0","v1600652598","1.1.3.5.4","25.0","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Mood disorder","Percent","Percent","239","units","0","v1600652646","1.1.3.11.4","12.3","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Mood disorder","Percent","Percent","239","units","0","v1600652646","1.1.3.11.4","14.4","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Mood disorder","Percent","Percent","239","units","0","v1600652646","1.1.3.11.4","16.1","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Anxiety disorder","Percent","Percent","239","units","0","v1600652654","1.1.3.12.4","13.4","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Anxiety disorder","Percent","Percent","239","units","0","v1600652654","1.1.3.12.4","19.2","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Anxiety disorder","Percent","Percent","239","units","0","v1600652654","1.1.3.12.4","20.1","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652662","1.1.3.13.4","11.0","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652662","1.1.3.13.4","10.6","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Current smoker, daily or occasional","Percent","Percent","239","units","0","v1600652662","1.1.3.13.4","9.5","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652686","1.1.3.16.4","4.3","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652686","1.1.3.16.4","4.7","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Cannabis frequency of use in the past 12 months, daily or almost daily","Percent","Percent","239","units","0","v1600652686","1.1.3.16.4","4.2","","","","1"
"2021","Canada (excluding territories)","","Total, 18 years and over","Females","Heavy drinking","Percent","Percent","239","units","0","v1600652710","1.1.3.19.4","13.2","","","","1"
"2022","Canada (excluding territories)","","Total, 18 years and over","Females","Heavy drinking","Percent","Percent","239","units","0","v1600652710","1.1.3.19.4","17.6","","","","1"
"2023","Canada (excluding territories)","","Total, 18 years and over","Females","Heavy drinking","Percent","Percent","239","units","0","v1600652710","1.1.3.19.4","16.6","","","","1"


